"","Gene","variant.counts","pos.variant.counts","neg.variant.counts"
"606","O15118",228,208,20
"607","O15119",5,4,1
"608","O15120",6,6,0
"609","O15121",5,4,1
"610","O15123",1,0,1
"611","O15127",2,0,2
"612","O15146",13,10,3
"613","O15160",21,19,2
"614","O15162",6,0,6
"615","O15164",4,0,4
"616","O15169",8,4,4
"617","O15178",3,1,2
"618","O15195",9,0,9
"619","O15197",11,0,11
"620","O15198",3,1,2
"621","O15204",10,0,10
"622","O15205",4,0,4
"623","O15209",3,0,3
"624","O15211",3,0,3
"625","O15212",1,0,1
"626","O15213",3,0,3
"627","O15218",1,0,1
"628","O15228",10,3,7
"629","O15229",5,0,5
"630","O15230",34,0,34
"631","O15232",24,19,5
"632","O15234",7,0,7
"633","O15239",4,3,1
"634","O15240",2,0,2
"635","O15243",1,0,1
"636","O15244",3,0,3
"637","O15245",5,0,5
"638","O15247",1,1,0
"639","O15254",7,0,7
"640","O15258",1,0,1
"641","O15263",2,0,2
"642","O15269",9,8,1
"643","O15270",6,6,0
"644","O15273",8,6,2
"645","O15287",5,4,1
"646","O15294",3,3,0
"647","O15296",8,0,8
"648","O15303",20,14,6
"649","O15304",3,0,3
"650","O15305",99,92,7
"651","O15315",5,0,5
"652","O15327",5,0,5
"653","O15344",27,23,4
"654","O15347",1,0,1
"655","O15350",5,0,5
"656","O15353",7,1,6
"657","O15354",3,0,3
"658","O15355",1,0,1
"659","O15357",7,3,4
"660","O15360",69,51,18
"661","O15371",2,0,2
"662","O15374",6,0,6
"663","O15375",6,0,6
"664","O15379",3,2,1
"665","O15381",7,0,7
"666","O15389",8,0,8
"667","O15394",3,0,3
"668","O15397",2,0,2
"669","O15399",1,1,0
"670","O15403",1,0,1
"671","O15405",6,0,6
"672","O15417",23,0,23
"673","O15427",2,0,2
"674","O15431",1,1,0
"675","O15438",7,0,7
"676","O15439",7,0,7
"677","O15440",4,0,4
"678","O15446",8,0,8
"679","O15455",8,2,6
"680","O15457",7,0,7
"681","O15460",5,2,3
"682","O15467",5,0,5
"683","O15479",1,0,1
"684","O15480",3,0,3
"685","O15481",1,0,1
"686","O15484",7,2,5
"687","O15488",10,0,10
"688","O15492",1,0,1
"689","O15498",1,0,1
"690","O15499",1,0,1
"691","O15504",5,0,5
"692","O15516",2,0,2
"693","O15519",1,0,1
"694","O15520",6,6,0
"695","O15522",1,0,1
"696","O15523",2,0,2
"697","O15528",36,33,3
"698","O15534",6,0,6
"699","O15535",2,0,2
"700","O15537",100,93,7
"701","O15547",4,0,4
"702","O15550",10,7,3
"703","O15552",8,0,8
"704","O15553",86,74,12
"705","O15554",7,3,4
"706","O43148",2,0,2
"707","O43149",17,0,17
"708","O43150",4,0,4
"709","O43155",2,0,2
"710","O43156",15,1,14
"711","O43157",15,0,15
"712","O43159",8,0,8
"713","O43164",4,0,4
"714","O43166",5,0,5
"715","O43167",4,1,3
"716","O43172",2,2,0
"717","O43173",1,0,1
"718","O43174",2,0,2
"719","O43175",12,11,1
"720","O43181",2,2,0
"721","O43182",1,0,1
"722","O43184",7,0,7
"723","O43186",17,15,2
"724","O43187",8,0,8
"725","O43193",2,0,2
"726","O43194",5,0,5
"727","O43236",2,0,2
"728","O43237",4,0,4
"729","O43240",1,0,1
"730","O43246",6,0,6
"731","O43247",6,0,6
"732","O43252",2,0,2
"733","O43264",7,0,7
"734","O43278",2,0,2
"735","O43281",2,0,2
"736","O43283",4,0,4
"737","O43286",2,0,2
"738","O43290",6,0,6
"739","O43291",1,1,0
"740","O43292",9,6,3
"741","O43294",1,0,1
"742","O43295",2,0,2
"743","O43296",4,0,4
"744","O43298",1,0,1
"745","O43299",7,0,7
"746","O43301",1,0,1
"747","O43304",3,0,3
"748","O43306",8,2,6
"749","O43312",3,0,3
"750","O43313",5,0,5
"751","O43315",1,0,1
"752","O43318",8,7,1
"753","O43323",3,3,0
"754","O43324",1,0,1
"755","O43325",1,0,1
"756","O43347",1,0,1
"757","O43353",4,0,4
"758","O43361",14,0,14
"759","O43364",3,1,2
"760","O43395",9,8,1
"761","O43405",4,0,4
"762","O43422",6,0,6
"763","O43423",8,0,8
"764","O43424",3,2,1
"765","O43448",2,0,2
"766","O43462",13,13,0
"767","O43463",1,0,1
"768","O43464",3,3,0
"769","O43482",2,0,2
"770","O43488",3,0,3
"771","O43490",9,3,6
"772","O43491",10,0,10
"773","O43497",15,7,8
"774","O43502",12,9,3
"775","O43505",3,2,1
"776","O43511",201,181,20
"777","O43516",2,0,2
"778","O43520",43,38,5
"779","O43521",1,0,1
"780","O43524",2,0,2
"781","O43525",19,16,3
"782","O43526",159,152,7
"783","O43541",10,7,3
"784","O43542",5,2,3
"785","O43548",7,5,2
"786","O43555",1,0,1
"787","O43557",2,0,2
"788","O43559",8,0,8
"789","O43566",2,0,2
"790","O43570",6,2,4
"791","O43572",1,0,1
"792","O43583",2,0,2
"793","O43586",4,2,2
"794","O43593",24,8,16
"795","O43597",4,1,3
"796","O43598",1,0,1
"797","O43603",3,0,3
"798","O43612",1,1,0
"799","O43613",2,0,2
"800","O43614",2,0,2
"801","O43615",3,0,3
"802","O43623",1,0,1
"803","O43638",3,0,3
"804","O43674",2,0,2
"805","O43676",2,1,1
"806","O43678",4,1,3
"807","O43679",1,0,1
"808","O43680",1,0,1
"809","O43683",7,0,7
"810","O43684",2,0,2
"811","O43692",2,0,2
"812","O43699",11,0,11
"813","O43704",2,0,2
"814","O43707",8,6,2
"815","O43709",1,0,1
"816","O43716",6,1,5
"817","O43719",11,0,11
"818","O43734",2,2,0
"819","O43736",1,0,1
"820","O43745",4,0,4
"821","O43747",2,0,2
"822","O43749",5,0,5
"823","O43759",1,1,0
"824","O43763",1,0,1
"825","O43766",3,3,0
"826","O43772",11,10,1
"827","O43776",4,1,3
"828","O43781",1,0,1
"829","O43790",9,8,1
"830","O43791",1,1,0
"831","O43795",2,0,2
"832","O43808",2,0,2
"833","O43813",3,0,3
"834","O43815",3,0,3
"835","O43818",1,0,1
"836","O43819",10,9,1
"837","O43820",3,0,3
"838","O43823",4,0,4
"839","O43825",2,0,2
"840","O43852",1,0,1
"841","O43854",2,0,2
"842","O43861",7,0,7
"843","O43866",6,0,6
"844","O43868",3,0,3
"845","O43869",9,0,9
"846","O43895",3,0,3
"847","O43896",8,4,4
"848","O43897",6,3,3
"849","O43908",2,0,2
"850","O43909",6,5,1
"851","O43913",1,0,1
"852","O43914",2,2,0
"853","O43916",2,0,2
"854","O43918",38,32,6
"855","O43920",1,1,0
"856","O43927",1,0,1
"857","O43929",4,1,3
"858","O43933",32,25,7
"859","O43934",2,0,2
"860","O60216",8,6,2
"861","O60220",3,2,1
"862","O60231",5,0,5
"863","O60235",3,0,3
"864","O60237",5,0,5
"865","O60239",2,0,2
"866","O60240",8,0,8
"867","O60241",6,0,6
"868","O60243",4,4,0
"869","O60244",2,0,2
"870","O60248",1,0,1
"871","O60258",4,3,1
"872","O60259",2,0,2
"873","O60260",62,53,9
"874","O60264",1,0,1
"875","O60266",5,0,5
"876","O60268",2,0,2
"877","O60269",8,0,8
"878","O60271",1,0,1
"879","O60279",7,0,7
"880","O60281",8,1,7
"881","O60284",14,0,14
"882","O60285",5,0,5
"883","O60287",30,0,30
"884","O60290",8,1,7
"885","O60292",9,0,9
"886","O60293",8,0,8
"887","O60294",8,0,8
"888","O60296",2,0,2
"889","O60299",3,0,3
"890","O60303",22,0,22
"891","O60304",5,0,5
"892","O60306",6,0,6
"893","O60307",4,0,4
"894","O60308",13,0,13
"895","O60309",1,0,1
"896","O60312",15,0,15
"897","O60315",22,17,5
"898","O60318",8,0,8
"899","O60320",3,0,3
"900","O60331",5,0,5
"901","O60336",7,0,7
"902","O60343",4,0,4
"903","O60346",6,0,6
"904","O60347",4,0,4
"905","O60353",6,2,4
"906","O60383",3,0,3
"907","O60391",11,0,11
"908","O60393",8,3,5
"909","O60403",4,0,4
"910","O60404",11,0,11
"911","O60412",3,0,3
"912","O60422",1,0,1
"913","O60423",10,0,10
"914","O60431",14,0,14
"915","O60443",6,0,6
"916","O60447",5,0,5
"917","O60469",1,0,1
"918","O60476",1,0,1
"919","O60477",3,0,3
"920","O60478",3,0,3
"921","O60481",11,10,1
"922","O60486",4,0,4
"923","O60487",3,0,3
"924","O60488",3,2,1
"925","O60494",63,4,59
"926","O60496",5,0,5
"927","O60500",114,101,13
"928","O60502",2,0,2
"929","O60503",8,0,8
"930","O60504",10,0,10
"931","O60512",3,0,3
"932","O60513",4,0,4
"933","O60516",1,0,1
"934","O60518",7,0,7
"935","O60522",11,0,11
"936","O60524",1,1,0
"937","O60542",2,0,2
"938","O60543",1,0,1
"939","O60563",4,0,4
"940","O60566",8,8,0
"941","O60568",4,2,2
"942","O60575",2,0,2
"943","O60583",1,0,1
"944","O60609",1,0,1
"945","O60610",10,0,10
"946","O60635",1,0,1
"947","O60636",2,0,2
"948","O60658",4,0,4
"949","O60662",5,1,4
"950","O60664",6,0,6
"951","O60667",5,0,5
"952","O60669",4,0,4
"953","O60671",2,0,2
"954","O60673",18,1,17
"955","O60674",12,4,8
"956","O60675",1,0,1
"957","O60676",2,0,2
"958","O60682",1,0,1
"959","O60687",2,2,0
"960","O60701",7,2,5
"961","O60704",2,0,2
"962","O60711",1,0,1
"963","O60716",2,0,2
"964","O60721",22,3,19
"965","O60725",1,0,1
"966","O60729",1,0,1
"967","O60732",24,0,24
"968","O60733",88,83,5
"969","O60741",18,14,4
"970","O60755",1,0,1
"971","O60759",1,0,1
"972","O60762",3,0,3
"973","O60765",6,0,6
"974","O60779",15,12,3
"975","O60783",2,1,1
"976","O60806",10,9,1
"977","O60809",5,0,5
"978","O60811",3,0,3
"979","O60826",4,2,2
"980","O60828",3,3,0
"981","O60829",1,0,1
"982","O60832",43,42,1
"983","O60840",27,27,0
"984","O60841",9,0,9
"985","O60869",1,0,1
"986","O60870",1,0,1
"987","O60880",35,33,2
"988","O60882",3,1,2
"989","O60883",4,0,4
"990","O60885",1,0,1
"991","O60890",3,3,0
"992","O60896",2,0,2
"993","O60906",4,0,4
"994","O60907",3,0,3
"995","O60911",3,0,3
